[00:31] Speaker_A | Mm .
[13:06] Speaker_D | Uh-huh .
[13:06] Speaker_C | And channel .
[13:09] Speaker_D | Okay .
[13:14] Speaker_D | Yeah .
[13:15] Speaker_C | You can select .
"[13:15] Speaker_B | You select twenty , you select five . That's it ."
[13:20] Speaker_C | Yeah mm .
"[13:21] Speaker_D | It's much longer than that that being two two five , no ? Don't you think so ? May not okay , we can go . That's uh You're right ."
[13:22] Speaker_B | No .
"[13:27] Speaker_C | Yeah , yeah , yeah . Y you need to like press two and five and Yeah ."
"[13:35] Speaker_C | Yeah , yeah . Yeah mm ."
"[13:40] Speaker_C | So , d Yeah , we need to address we want we only address two main functions here and the other functions will be on L_C_D_ . So"
[13:52] Speaker_D | Both .
[13:54] Speaker_D | Yeah .
[13:55] Speaker_B | Yeah . Yeah .
[13:55] Speaker_D | Yeah .
[13:55] Speaker_C | Yeah .
[13:56] Speaker_A | Yeah .
[13:56] Speaker_D | Up down or left right . Yeah .
[13:56] Speaker_C | Yeah . Up .
[13:57] Speaker_A | Yeah . And which what is that ?
"[14:00] Speaker_B | It's a jog dial for controlling the cursor on the L_C_D_ screen . Like , selecting the menus ."
[14:00] Speaker_C | This is jog wheel .
[14:04] Speaker_C | Yeah .
"[14:05] Speaker_C | Um , see in L_C_D_ , like you will have blocks and you select which one ."
[14:06] Speaker_D | Cool .
"[14:08] Speaker_A | Oh oh okay , great ."
[14:11] Speaker_A | Now it's looks us useful . Yeah .
[14:13] Speaker_D | Two or three ? Two or three ? Two .
[14:13] Speaker_C | Yeah .
[14:14] Speaker_C | Yeah .
"[14:24] Speaker_D | Is it the the the effective size and weight that the Is it uh real size , real weight ? Or Because it Size is going to be that , yeah ?"
"[14:34] Speaker_C | Yeah , because it is The weight will be bit lighter . We will s We use titanium . Yeah ."
[14:39] Speaker_A | Mm-mm .
"[14:39] Speaker_B | Sure , without titanium alloy , it's going to be light ."
[14:43] Speaker_C | Yeah . Yeah .
[14:44] Speaker_B | Of course .
[14:46] Speaker_C | Heavy . Yeah .
[14:47] Speaker_A | Mm-hmm .
[14:48] Speaker_C | Yeah .
"[14:52] Speaker_C | But sides uh , the sides should be okay . . Yeah mm ."
"[14:53] Speaker_D | So , should be okay ."
"[14:56] Speaker_D | Up to three for that , because I'm haven't seen the weight so I must not uh Colour and shape ."
[14:58] Speaker_A | Mm-mm .
[15:00] Speaker_B | Okay . Okay .
[15:00] Speaker_C | Oh .
"[15:10] Speaker_D | Well , so colour , it seems that we have the several colours for the L_C_D_ . But um , it's not very clear what is the colour of the sh the sh the case . It's a it's going to be titanium . Okay , okay . That's nice . I think it's good . Okay ."
[15:14] Speaker_C | Yeah .
[15:15] Speaker_A | Yeah .
"[15:20] Speaker_C | The case is silver titanium , no ?"
"[15:21] Speaker_A | Yeah , it's ."
[15:23] Speaker_C | Yeah .
[15:25] Speaker_A | Let's imagine .
[15:35] Speaker_C | Oh .
"[15:38] Speaker_C | Yeah , yeah . Yeah ."
[15:47] Speaker_A | Mm-hmm .
[15:47] Speaker_C | Yeah .
[15:50] Speaker_A | Yep .
[15:53] Speaker_A | Hmm .
[15:55] Speaker_A | I would have m uh i found more fancy that the fruits are useful .
[16:04] Speaker_A | Yeah .
[16:11] Speaker_A | Mm-hmm . But the n Yeah .
[16:20] Speaker_A | Mm .
"[16:30] Speaker_A | It's n no , it's not fancy any more ."
[16:37] Speaker_A | Okay .
"[16:42] Speaker_B | Moreover , moreover it covers it covers all the end goals . Even if it is , you know , it's very rounded , but still you got some rubber fruit here , and it's completely uh completely secure to leave it uh with children and that ."
[16:46] Speaker_C | Yeah .
[16:50] Speaker_C | Yeah .
"[16:55] Speaker_A | Okay , so you you you feel like it's something uh a protection for the remote control ."
[16:56] Speaker_C | Yeah .
[17:05] Speaker_A | Also .
[17:09] Speaker_A | Okay .
[17:15] Speaker_B | Okay . Okay .
[17:16] Speaker_C | Yeah .
[17:18] Speaker_C | Yeah .
"[17:20] Speaker_D | And uh the last one is adaptive . This is not r maybe not as important as the other one , but uh can we adapt it to each each personal use ?"
[17:27] Speaker_C | Yeah .
"[17:32] Speaker_B | Sure , sure , just look at it ."
"[17:38] Speaker_B | Yeah , you can fit it into your palm , you know ."
[18:00] Speaker_C | Yeah .
"[18:05] Speaker_C | Three , three , six , eight , eleven ."
[18:09] Speaker_B | It's two point one seven .
[18:11] Speaker_D | Okay . Two point one seven . That's nice . Two point one seven out of seven . I think we have a good
[18:18] Speaker_C | Hmm .
[18:22] Speaker_A | Yeah .
[18:27] Speaker_A | So it's a good evaluation .
[18:30] Speaker_A | Yeah . Mm .
[18:32] Speaker_D | Yeah .
[18:33] Speaker_A | Mm-mm .
[18:33] Speaker_D | Yeah . Okay . Thanks .
[18:43] Speaker_D | Ah-ha .
"[18:54] Speaker_C | Energy . Uh , we use bat"
[18:54] Speaker_D | So so how many batteries do we need ? One battery ?
[18:57] Speaker_C | One battery . Yep .
"[18:59] Speaker_A | Okay , so two ."
[18:59] Speaker_D | Good .
[19:01] Speaker_D | Why two ?
"[19:03] Speaker_C | Oh , we just need one , I guess ."
[19:09] Speaker_D | Two batteries or one ?
"[19:12] Speaker_C | No , number is one . We need only one battery ."
[19:13] Speaker_D | Only one .
"[19:13] Speaker_A | Yeah yeah , but the price is two . Oh , number . Sorry sorry sorry . I'm sorry ."
"[19:15] Speaker_D | No , no . But no , no . No , no way ."
"[19:16] Speaker_B | No , uh you just Number . Yeah ."
"[19:16] Speaker_C | Number , number ."
[19:18] Speaker_A | Yeah . Yeah . Oh .
"[19:29] Speaker_D | Twelve bucks . Twelve and a half , I think ."
[19:33] Speaker_D | Okay .
"[19:41] Speaker_D | It's a simple chip ? Simple chip , okay . One ."
[19:45] Speaker_D | Okay .
[19:52] Speaker_A | One also .
[19:53] Speaker_D | One or two ? One ? Okay .
"[19:53] Speaker_C | Yeah , one to one . Yeah , one ."
"[19:56] Speaker_D | So the case , which one uh is it in the end ?"
"[20:00] Speaker_C | Yeah , I think we will go for a single curve , no ?"
[20:03] Speaker_D | Let's do a single curve .
[20:05] Speaker_B | It's it's flat .
"[20:06] Speaker_D | It's flat , and curved ."
[20:08] Speaker_B | It's flat .
"[20:16] Speaker_D | Maybe there is a supplement for that , no ? It's only curve ? Okay , let's go ."
"[20:18] Speaker_A | Mm-hmm . Oh see , I I think that the the price is this one ."
[20:30] Speaker_C | Oh .
"[20:31] Speaker_B | Oh , okay ."
"[20:32] Speaker_D | So , what is it ? T titanium ? Mm , that's expensive . Mm-hmm ."
[20:32] Speaker_C | Titanium .
[20:34] Speaker_A | Mm-hmm .
[20:34] Speaker_B | Mm .
[20:36] Speaker_B | Mm .
"[20:46] Speaker_B | Well , n Why three ? Why three ?"
"[20:47] Speaker_C | No , only one , no ?"
[20:47] Speaker_A | Mm .
"[20:48] Speaker_A | Oh , sorry . Again , I'm See it ."
[20:52] Speaker_C | Interface .
[20:54] Speaker_D | Oh .
"[20:55] Speaker_C | Yes , in L_C_D_ display . Ok"
"[20:57] Speaker_A | Yeah , but there is no colour here . So I put it here ."
"[20:59] Speaker_C | Yeah , an Yeah ."
[21:04] Speaker_C | Push-button .
[21:07] Speaker_A | How many push-button ? Three or two ?
"[21:09] Speaker_C | Uh , two ."
[21:11] Speaker_D | Two .
"[21:11] Speaker_A | Is there The scroll-wheel , okay ."
[21:13] Speaker_D | Yeah .
[21:13] Speaker_C | Yeah .
[21:16] Speaker_D | It's going to be expensive .
[21:17] Speaker_C | One scroll wheel . One L_C_D_
[21:21] Speaker_C | displayed .
[21:23] Speaker_A | Okay .
[21:31] Speaker_D | That's all ? No .
"[21:31] Speaker_A | That's that's not We choose this one , and not this one ."
[21:32] Speaker_C | Yeah .
"[21:34] Speaker_D | Oh , I think , no it's Uh , is it a scroll wheel and pe push button , th this centre one ? Or only only scroll wheel , okay ."
"[21:36] Speaker_C | Yeah , it's cheaper ."
[21:38] Speaker_A | Or only a scroll-wheel .
[21:38] Speaker_C | Yeah .
[21:40] Speaker_C | Only scroll wheel . Yeah mm .
"[21:53] Speaker_D | No , but you select with the two d the other two buttons , no ?"
[21:55] Speaker_C | Y ye
[21:56] Speaker_D | That's true .
[21:58] Speaker_D | Yeah .
[22:00] Speaker_D | Yeah .
[22:03] Speaker_D | It should stay . Yeah .
"[22:09] Speaker_C | Special colours , yeah ."
[22:11] Speaker_C | Okay .
[22:11] Speaker_A | Mm-hmm .
[22:12] Speaker_B | For buttons .
"[22:13] Speaker_C | Yeah , buttons and strawberries . Yeah ."
"[22:13] Speaker_B | No , buttons just normal ."
[22:19] Speaker_C | Special form .
"[22:20] Speaker_A | You you have all of these , no ?"
[22:30] Speaker_D | Yeah . No . Special material ?
"[22:33] Speaker_C | Uh , we have titan"
[22:33] Speaker_B | That's for buttons . But buttons are standard .
"[22:35] Speaker_D | Yeah , buttons are the standard buttons . Yeah . It's only buttons , these ."
[22:39] Speaker_D | Nothing special . Okay . So we are at seventeen dot eight .
[22:40] Speaker_C | Yeah .
[22:43] Speaker_A | Not special colours an interest in ?
"[22:46] Speaker_D | No , the colour is in the L_C_D_ ."
[22:51] Speaker_D | I no .
[22:52] Speaker_A | They are m
[22:58] Speaker_A | Boo-hoo . It's already too expensive . Apparently .
[23:02] Speaker_C | Yeah .
"[23:03] Speaker_D | So what is Are we supposed to cut things out now ? Uh , until we get twelve fifty ."
[23:05] Speaker_A | Yeah . Mm .
[23:08] Speaker_A | Mm-hmm . Mm .
"[23:22] Speaker_D | if I look at what is the most expensive things , uh it's the L_C_D_ and the speaker ."
[23:26] Speaker_C | Sample speaker . Yeah .
"[23:30] Speaker_A | Apparently , we have to choose one or the other ."
[23:33] Speaker_D | Yeah .
[23:33] Speaker_C | Yeah .
[23:34] Speaker_D | Yeah .
"[23:36] Speaker_B | Well , as you may know there's some research done in the field of producing energy from mechanical eng , I mean , producing electricity from mechanical energy ."
"[23:45] Speaker_B | So , the point is that when you take device and push the button , you produce enough energy"
[23:52] Speaker_A | But you don't need a battery ? Mm .
"[23:52] Speaker_B | to make electricity . Yeah , that you don't need a battery . So , it's something like hand dynamo robot ."
[23:55] Speaker_D | Mm-hmm .
[23:59] Speaker_B | A real high-tech version of it .
"[24:02] Speaker_A | But um it's like the hand dynamo , no ?"
[24:06] Speaker_C | Maybe the jog wheel can be like kind of hand
"[24:08] Speaker_D | So , but if we select the hand dynamo it's okay , we only We we win one . That's already that . Okay , let's do that ."
"[24:12] Speaker_B | Okay , but l"
[24:12] Speaker_C | Yeah .
[24:13] Speaker_A | Uh it's a it's a beginning . Okay .
[24:14] Speaker_C | Yeah .
[24:15] Speaker_B | Why not . Let's do that .
"[24:19] Speaker_C | Yeah , just remo"
[24:19] Speaker_A | One here and here .
[24:22] Speaker_A | 'Kay .
[24:30] Speaker_A | Mm-hmm .
[24:33] Speaker_C | Yeah .
[24:36] Speaker_B | Why not ?
"[24:41] Speaker_C | Uh , no ."
[24:42] Speaker_B | And ?
[24:42] Speaker_D | And ?
"[24:46] Speaker_D | No . Okay , let's see ."
[24:46] Speaker_C | Yeah .
"[24:48] Speaker_B | So , was there result ? Let's have a look ."
"[24:50] Speaker_C | It's not changing , no ? It you don't"
"[24:51] Speaker_D | Yeah , yeah , yeah , if Click somewhere , you'll see features . Yes , it does ."
[24:51] Speaker_B | Why ?
[24:54] Speaker_B | Oops .
[25:02] Speaker_B | Yeah . Why not .
"[25:04] Speaker_D | Yeah , anyway No , minus two ."
[25:05] Speaker_B | Minus .
"[25:07] Speaker_D | Nobody will know . It's not recorded , is it ? Okay , we're on time . Good ."
[25:11] Speaker_B | Good .
"[25:14] Speaker_C | So now on , we can increase our Still you have two more . Maybe we can use it for our party ."
"[25:21] Speaker_B | And a battery and a battery , yeah ."
[25:22] Speaker_C | Yeah .
"[25:24] Speaker_C | Yeah , yeah ."
[25:29] Speaker_A | Mm .
"[25:34] Speaker_C | No , but point five point three ."
"[25:36] Speaker_D | Uh , it's better . I think they are counting uh We would prefer , yeah . Maximum is maximum . So , remove one of them . Yeah . Okay . Okay , we're uh on target ."
[25:36] Speaker_C | Okay .
[25:39] Speaker_C | Is really strict ? Oh .
[25:42] Speaker_C | Oh yeah .
"[25:46] Speaker_A | Uh , mm-mm ."
[25:52] Speaker_D | I'm just curious to see this uh my address chip on print .
"[26:08] Speaker_B | Well , I don't know . I don't know ."
"[26:11] Speaker_B | I am not sure who was programming this calculator , you know ."
[26:19] Speaker_B | I wonder if we put A_ or B_ somewhere instead of a number .
[26:31] Speaker_D | What else ?
[26:41] Speaker_D | No . This is right .
"[26:42] Speaker_A | No , that's yours . Sorry ."
[26:49] Speaker_A | 'Kay .
"[26:52] Speaker_C | Mm yeah , very much ."
[26:55] Speaker_B | Next slide .
[26:57] Speaker_D | Project process .
[27:02] Speaker_D | Safe uh asse uh safe assessment .
[27:03] Speaker_A | Yeah . Yeah . Mm . See mm how Are we a good team ? Mm .
"[27:10] Speaker_D | Yeah , I think we've listened to everybody . Everybody could say what they thought ."
[27:10] Speaker_B | Okay .
[27:13] Speaker_A | Mm-hmm .
[27:17] Speaker_A | Mm .
[27:19] Speaker_A | Is there enough room for creativity ?
"[27:21] Speaker_B | Yeah , yeah ."
[27:24] Speaker_B | Yeah .
"[27:27] Speaker_A | Mm . Oh . Okay . Well , project evaluation ."
"[27:36] Speaker_B | M maybe not , huh ?"
"[27:37] Speaker_D | Team-work , very strong , I would say . Team-work , no problem ."
"[27:38] Speaker_C | Yeah , our team-work is really strong ."
[27:41] Speaker_D | Means .
"[27:43] Speaker_D | Whiteboard , digital pens ."
"[27:45] Speaker_C | Oh , we still , I guess ."
"[27:46] Speaker_B | What was the Oh yeah , what was good ? Everything . What was bad ?"
"[27:50] Speaker_D | Yeah , I think white-board is useful . Digital pens , useful ."
[27:54] Speaker_C | Hmm .
[27:59] Speaker_D | New ideas found ?
[28:00] Speaker_D | Yeah .
"[28:14] Speaker_D | Yeah , but uh then I I mus"
[28:19] Speaker_D | That's true . And there's uh one very important point . We're on time .
[28:20] Speaker_C | Don't really .
[28:23] Speaker_A | Mm-hmm .
[28:23] Speaker_C | Yeah .
[28:25] Speaker_D | Meetings finish when they have to or even before .
[28:30] Speaker_D | The for meeting it's uh one of the most important thing .
[28:35] Speaker_A | Okay . Mm .
"[28:36] Speaker_B | Not to waste time , that's important ."
[28:40] Speaker_B | We need time f
[28:40] Speaker_C | Hmm .
[28:51] Speaker_B | New materials .
[28:52] Speaker_D | Mm . .
"[28:52] Speaker_C | New materials , new s uh this fancy strawberry design ."
"[28:56] Speaker_D | Mm , yeah ."
"[28:57] Speaker_D | Hey , just wondering if my uh what about the the pink the pinkness of that uh"
[29:05] Speaker_A | Mm .
[29:13] Speaker_B | Budget .
[29:14] Speaker_C | Yeah .
[29:19] Speaker_B | Alright .
[29:30] Speaker_C | Yeah .
[29:31] Speaker_B | Okay .
"[29:33] Speaker_C | Yeah , yeah , it's We got two Good score ."
"[29:33] Speaker_B | Yeah , it is ."
"[29:35] Speaker_B | So , we see , we can even forecast ."
[29:44] Speaker_D | To whom ? To the whole our company ?
[29:49] Speaker_B | You ?
[29:50] Speaker_B | It was you .
[29:52] Speaker_B | Okay .
"[29:55] Speaker_A | Mm-hmm . Ah um , I think it's finish ."
[29:56] Speaker_C | So where we will go now ?
[30:02] Speaker_A | Yeah . Mm .
"[30:02] Speaker_C | Ah , okay . We can decide . Yeah ."
[30:04] Speaker_A | Mm-mm . And we go to the party .
[30:07] Speaker_C | Yeah . Thank you .
"[30:07] Speaker_D | Yeah , yeah , yeah ."
