[07:38] Speaker_B | Okay .
[07:40] Speaker_A | And to be sure that really people will be interested in buying a new remote control with maybe new functionalities that don't exist in the mm existing remote controls now .
"[07:53] Speaker_A | So , is it okay ?"
[07:55] Speaker_D | Mm . It's clear .
[07:56] Speaker_B | Yeah .
"[08:01] Speaker_C | There was a step about drawing something in the in the board , I don't know ."
"[08:04] Speaker_D | Yeah , maybe should go and draw an animal ."
[08:13] Speaker_A | So you think we have to do it now ?
"[08:24] Speaker_A | You want me to draw something ? Product manager okay , let's go , I will try ."
[08:33] Speaker_D | Yeah .
[08:38] Speaker_C | So .
[08:47] Speaker_B | Okay .
[08:52] Speaker_D | Uh it's the same as mine .
[08:56] Speaker_B | What's this ?
"[09:08] Speaker_D | It's the fat cat , okay ."
"[09:11] Speaker_B | Can you draw uh um rabbit ? Oh , hat ha rat ."
[09:17] Speaker_D | A rat ? That's difficult .
[09:17] Speaker_B | Yeah .
[09:20] Speaker_A | No . A mouse is not too difficult . Mouse is okay .
[09:25] Speaker_D | Yeah .
"[09:27] Speaker_D | Just go , you you the closest to the whiteboard ."
[09:30] Speaker_B | Mm .
[09:31] Speaker_B | Okay .
[09:32] Speaker_D | Yeah .
"[09:35] Speaker_B | Oh . Okay , I draw . The only thing I can draw is like this ."
[09:44] Speaker_B | Oh .
[09:46] Speaker_B | Oh . Oh .
[09:50] Speaker_D | A duck .
[09:51] Speaker_B | No . What's this ?
"[09:58] Speaker_A | Yeah , that was the eyes ."
[09:59] Speaker_B | Okay .
[10:01] Speaker_A | A clown . Rabbit .
[10:03] Speaker_C | It's a rabbit .
[10:12] Speaker_A | It's a rabbit .
[10:14] Speaker_D | Oh yeah .
[10:17] Speaker_D | Bugs Bunny one .
[10:18] Speaker_A | Yeah .
[10:22] Speaker_C | It's not so bad so .
[10:28] Speaker_D | Okay . I go .
[10:54] Speaker_C | A fish .
[10:55] Speaker_D | Right . A fish .
[11:00] Speaker_A | You forgot the chips .
"[11:02] Speaker_D | Oh yeah , doesn't look so fine ."
[11:07] Speaker_C | Have to be really careful .
[11:13] Speaker_C | Ah it's my turn .
[11:15] Speaker_B | Oh .
"[11:17] Speaker_B | Okay , be careful ."
[11:17] Speaker_C | Okay .
[11:19] Speaker_C | So .
"[11:28] Speaker_B | No problem , no problem ."
[11:43] Speaker_A | Oh . ?
"[12:12] Speaker_C | Yeah , it's it's a se it's my priority this one ."
[12:17] Speaker_C | Yeah .
[12:24] Speaker_D | Mm .
[12:36] Speaker_D | Good .
[12:40] Speaker_B | Okay .
[12:55] Speaker_D | I think it's done .
"[12:56] Speaker_A | Yeah , I think yeah ."
[12:56] Speaker_C | It's done ?
[12:57] Speaker_D | Yeah .
[12:58] Speaker_B | Okay .
[13:01] Speaker_B | So we have break .
"[13:01] Speaker_A | present project , discuss a little bit about it ."
[13:04] Speaker_C | Oh my God .
"[13:08] Speaker_D | Oh , we have twenty five minutes for the meeting ."
[13:10] Speaker_A | Yeah .
[13:11] Speaker_D | Okay .
"[13:12] Speaker_A | So , if you have questions ."
[13:12] Speaker_B | Oh .
[13:14] Speaker_B | Hmm .
[13:15] Speaker_D | Know what time is it ?
[13:21] Speaker_D | No .
[13:24] Speaker_A | It's okay ? You know your job ? you know your job ?
"[13:25] Speaker_C | Yeah , it's okay ."
[13:29] Speaker_A | You know your job ?
[13:32] Speaker_A | Okay .
[13:36] Speaker_B | Okay .
[13:39] Speaker_D | Good .
