[00:37] Speaker_C | Okay .
"[14:35] Speaker_D | Uh yeah . And i Th They like to sleep , that's why you said you they are like this ."
[14:47] Speaker_D | Yeah .
[14:54] Speaker_A | Mm-hmm .
"[15:12] Speaker_B | Th thank you , Matthew ."
[15:14] Speaker_D | Yeah .
[15:31] Speaker_B | some contribution to our project . So . Let's see . Which animal has not been drawn yet .
[15:32] Speaker_A | Mm 'kay .
[15:33] Speaker_A | Your turn .
"[15:52] Speaker_B | So you've all drawn land animals , so why not draw an animal from the water ."
"[15:56] Speaker_D | A bird . Okay , in the water ."
[16:11] Speaker_D | Mm .
[16:19] Speaker_A | Yeah .
[16:20] Speaker_B | Yes .
[16:21] Speaker_C | The cat is going to eat the fish or the rat ?
[16:22] Speaker_D | With different pen widths .
"[16:33] Speaker_A | Oh , it's a shark now ."
"[16:34] Speaker_D | Ah it's a shark , yeah ."
"[16:35] Speaker_B | Oh , yes , why not ? Good idea ."
"[16:39] Speaker_C | Ah it's a baby shark , it looks to me , you know it's going to eat the cat rather than the cat eating the fish , no ?"
[16:41] Speaker_A | Mm .
[16:44] Speaker_D | Oh .
[16:45] Speaker_A | Now it's a swordfish .
[16:50] Speaker_B | Why not . A swordfish .
"[16:50] Speaker_D | You have some in in Australia , right ? Yeah . I dunno ."
"[16:53] Speaker_A | Swordfish . Um , maybe ."
"[16:57] Speaker_A | I've never seen one , no ."
[16:57] Speaker_D | Oh well .
[16:58] Speaker_D | Yeah .
[17:08] Speaker_C | You should go for the next one it seems to me .
"[17:09] Speaker_B | W Well , this uh this tool seemed to work . Let's continue to uh to the real stuff ."
[17:13] Speaker_A | Mm-hmm .
"[17:13] Speaker_D | Yeah , exactly , yeah ."
[17:15] Speaker_D | Wow .
[17:19] Speaker_B | Um our project uh finance uh
"[17:23] Speaker_B | thing . Uh when we are and when w you are uh going to design w uh we must keep in mind that the selling price of the product uh will be about twenty five Euros , so when"
[17:38] Speaker_C | Twenty four .
"[17:39] Speaker_B | designing a project uh I also look at you uh Mael , keep in mind uh uh uh People uh"
[17:44] Speaker_D | Yeah .
[17:48] Speaker_B | want to get the feeling this is a twenty five Euro project uh pr um
"[17:53] Speaker_D | Per remote control , yeah ? Per project ."
[17:53] Speaker_B | product .
[17:54] Speaker_A | Mm .
"[17:56] Speaker_B | Yes . Okay . Um more interesting for our company of course , p uh profit aim , about fifty million Euro . So we have to sell uh quite a lot of this uh um things . Uh we will try to uh"
"[18:19] Speaker_B | to get at a international market uh so um it will be I think mainly Europe and uh Northern America ,"
"[18:26] Speaker_C | Ah yeah , the sale man , four million ."
[18:27] Speaker_B | maybe some uh Asian countries .
[18:30] Speaker_B | Um also important for you all is um the the product uh production cost must be maximal uh twelve uh twelve Euro and fifty cents .
"[18:47] Speaker_B | Yes , of course . Uh um I mean we still have to uh to make a profit , huh ?"
[18:53] Speaker_D | Of course .
[18:54] Speaker_B | You all have to be paid .
[18:56] Speaker_A | Mm .
[18:57] Speaker_B | Excuse me ?
[18:58] Speaker_C | Ah we have to make we have to sell at least four million to make our own profit . Fifty mill
[19:01] Speaker_D | Oh you're g very good in mathematics . Four million .
"[19:05] Speaker_B | Yes , indeed ."
"[19:07] Speaker_B | So uh well I think w when we are working on the international market , uh in principle it has enough customers uh so when we have a good product we uh we could uh meet this this aim , I think ."
[19:09] Speaker_D | Yeah .
"[19:22] Speaker_B | So , that about finance ."
"[19:25] Speaker_B | And uh now just let have some discussion about what is a good remote control and uh well keep in mind this this first point , it has to be original , it has to be trendy , it has to be user friendly ."
"[19:42] Speaker_B | Um , maybe someone can mention some additional uh prerequisites for a good remote control ."
[19:50] Speaker_A | Mm-hmm .
[19:57] Speaker_A | Mm-hmm .
"[19:58] Speaker_B | Yes , well i it should have the the the the expected functionality uh of a remote control ."
[20:02] Speaker_A | Mm .
[20:04] Speaker_A | Yeah .
[20:08] Speaker_A | Mm .
[20:10] Speaker_B | We wer we were thinking television . Uh .
[20:12] Speaker_A | Mm .
"[20:12] Speaker_C | We are targ targeting the television set . So , you need to record the channels . You need to browse the browse the channels in upward downward way ,"
[20:15] Speaker_A | Mm .
[20:17] Speaker_A | Yeah .
[20:18] Speaker_B | Mm-hmm .
"[20:25] Speaker_B | Yes , yes . Th th that's very handy I I always miss it and on some remote controls that you can go channel up or down ins instead of retyping the number , especially when you have a lot of channels ."
[20:26] Speaker_A | Mm .
[20:33] Speaker_A | Mm .
[20:35] Speaker_A | Mm .
[20:41] Speaker_A | I'm marketing .
[20:42] Speaker_C | Marketing .
[20:44] Speaker_A | Yep .
[20:47] Speaker_C | Yeah .
[20:47] Speaker_B | Yes .
[20:49] Speaker_C | Yeah .
[20:50] Speaker_C | Sure .
[20:54] Speaker_A | Mm-hmm .
[20:54] Speaker_B | Yes .
[20:55] Speaker_C | Oh .
"[20:57] Speaker_C | I'm Matthew . You know . Matth s uh Anna . And um uh Matthew , yeah . I thi think you know me , yeah ? right yeah ."
[21:01] Speaker_A | Anna .
[21:03] Speaker_B | A and I'm Nanne .
[21:06] Speaker_D | Uh so yeah uh Just uh on your web page but uh yeah not uh not face to face .
[21:07] Speaker_B | Yes .
[21:17] Speaker_C | So .
[21:17] Speaker_B | S s
[21:18] Speaker_A | Mm .
"[21:18] Speaker_B | Are there some other very important things to to do well ,"
"[21:25] Speaker_B | to specify in this first phase of of the project . So the browse function , as you m mentioned ."
[21:31] Speaker_A | Mm . Yeah . Oth yeah .
"[21:33] Speaker_C | And uh ,"
[21:43] Speaker_B | Yes . Yeah .
[21:52] Speaker_B | Yes .
[21:53] Speaker_A | Mm .
[21:53] Speaker_D | Like what ? Like internet on the on T_V_ ?
[21:56] Speaker_C | Yeah I_P_O_ or . Now we are looking for
[21:56] Speaker_A | Mm .
[22:00] Speaker_C | television things or I_P_ . For example personal video recorder and all those stuffs are coming up .
[22:03] Speaker_D | Yeah .
[22:06] Speaker_A | Mm .
[22:08] Speaker_A | But we can't really design for something that hasn't been invented yet .
[22:09] Speaker_C | Yeah .
"[22:11] Speaker_C | Ah it's it's it's it's coming up , actually . The personal video recorder and all those things it is coming up ."
"[22:21] Speaker_B | Uh w y you two should should , I think , think this over uh w espec what , what functionality ."
[22:37] Speaker_A | Mm . Yeah .
[22:38] Speaker_B | Mm-hmm .
[22:39] Speaker_A | Yeah .
[22:41] Speaker_A | Mm .
[22:43] Speaker_A | Yeah .
"[22:48] Speaker_A | Ninety percent of the time , ninety nine percent of the time , people will be using the main functions , the volume , the different channels , so we can have all the fancy things as well but the main controls need to be very obvious and very easy to use ."
"[22:59] Speaker_B | Mm mm mm . Keep k keep in mind i it's a it's a twenty five Euro unit , so uh uh the the very fancy stuff uh"
"[23:09] Speaker_B | w we can leave that out , I think . So twenty five Euro you expect a quite , well normal but good functioning user friendly remote control ."
[23:11] Speaker_A | Mm .
[23:16] Speaker_A | Mm .
[23:30] Speaker_A | Mm .
[23:40] Speaker_D | Yeah .
"[23:44] Speaker_D | The Yeah , the main is browsing . Yeah ."
"[23:45] Speaker_B | Yes , but but but ab about the spec the buttons , the buttons uh that will be on it . I I think we can discuss that in the in the next meeting ."
[23:48] Speaker_C | Yeah .
[23:54] Speaker_C | Yeah .
[23:55] Speaker_B | Uh I would like to get this wrapped up and go to an end of this meeting .
[24:01] Speaker_C | Okay .
"[24:03] Speaker_C | Okay , we are alread mm . Mm ."
[24:05] Speaker_D | Okay .
[24:05] Speaker_B | So you know now the basic the basic things . And
[24:08] Speaker_C | Yeah .
[24:08] Speaker_A | Mm-hmm .
"[24:11] Speaker_B | well just just for the next meeting , um"
[24:29] Speaker_D | Mm-hmm .
[24:34] Speaker_B | you will be working on on
"[24:39] Speaker_C | Yeah , sure ."
"[24:40] Speaker_B | And uh you and you and uh uh uh well , think about requirements , eh ? Does it need internet , or or do do we stay at"
[24:46] Speaker_A | Mm-hmm .
[24:51] Speaker_B | basic basic television uh interface .
[24:51] Speaker_C | Stam .
[24:52] Speaker_A | Yeah .
"[24:57] Speaker_B | So , uh"
[25:01] Speaker_B | I think we should now all go work uh uh at this and uh you will be informed via email and other kind of communication .
[25:05] Speaker_A | Mm-hmm .
[25:09] Speaker_A | Yeah .
[25:10] Speaker_C | Okay .
[25:11] Speaker_D | Perfect .
[25:11] Speaker_B | So next meeting will be in uh in thirty minutes uh . K keep it in mind .
