"[00:34] Speaker_A | Okay uh Agnes , you can help me for the slide when okay ."
"[07:10] Speaker_B | Um if you uh mi one of one of my requirements was about needs t to tell you when it's done its job or not , because half the time , I keep pushing on the remote control , and I don't know if it's actually understood my message , so I think it should give you some sort of an oral cue ."
"[07:26] Speaker_B | And uh , course I never wanna replace the battery ."
"[07:34] Speaker_A | Yeah , let me uh interrupt you uh"
"[07:36] Speaker_A | if you can add other facility , other feature , like uh unbreakable ."
[07:41] Speaker_B | Yes .
"[07:42] Speaker_A | Okay , because uh especially today , you know , you have the family and the kids , okay , and the kids throw it and they they play with their remotes and ."
[07:50] Speaker_B | Run over it with a car .
[07:51] Speaker_A | Yes .
"[07:51] Speaker_A | Okay , so if you can add the feature , okay , for your uh fabric whatever in your outline design"
"[07:58] Speaker_A | okay , with unbreakable , okay , I think that will give a lot of advantage for our product ,"
[08:04] Speaker_A | if I'm not wrong .
[08:06] Speaker_A | Maybe you can uh add it in that .
"[08:08] Speaker_B | Yes , very good ."
"[08:20] Speaker_A | Okay , uh thank you Christine , and uh uh any questions or uh clarifications , or any discussion on the functional design ?"
[08:33] Speaker_C | Do you have any preconceived ideas in terms of materials ?
[08:41] Speaker_B | Hmm .
"[08:44] Speaker_B | Titanium . Titanium would be be heavy , too , wouldn't it ?"
[08:50] Speaker_C | Yeah .
"[08:52] Speaker_B | No , I haven't really um I wanted feedback , I think we need to rate rank these , but we'll see what your uh personal preferences are and your thoughts ."
[08:57] Speaker_C | Yeah .
[09:06] Speaker_C | Yeah .
[09:06] Speaker_D | Expensive .
[09:11] Speaker_A | Yes .
[09:17] Speaker_B | It'd be hard to inflate something ou made out of titanium though .
[09:18] Speaker_A | Yeah the the I'm sorry because uh the last meeting we supposed to discuss about the financial thing .
"[09:24] Speaker_A | Uh let me go quickly , maybe if I can go back ."
[09:28] Speaker_A | I know the project plan and the budget .
"[09:35] Speaker_A | So I can close this , not sure ."
[09:59] Speaker_A | This .
[10:18] Speaker_A | So let me see where is this file .
[10:32] Speaker_C | That's Christine's .
[10:33] Speaker_A | This is Christine .
"[10:51] Speaker_C | And that's mine , I think ."
"[10:51] Speaker_A | That's yours , okay ."
[10:54] Speaker_A | Saving .
[10:58] Speaker_C | In modified .
"[10:59] Speaker_D | I don't know , I think verbally we can we can pretty much sell ."
"[11:00] Speaker_A | Okay , uh I will I will send you a mail , okay ? The project may be the the project aim , okay ."
"[11:05] Speaker_A | At the end of the day , the company uh wants to make at least uh the fifty million Euro ."
"[11:12] Speaker_A | Okay , and uh of course the price will be very reasonable on the the sales side ."
"[11:18] Speaker_A | Okay , that maybe Eddie will talk to you about uh how much uh the price and uh what's uh how much its cost for the manufacturing and how much it's going to be we sell in the market ."
[11:27] Speaker_A | Okay .
[11:28] Speaker_A | Then uh you can come back with your feedback .
"[11:31] Speaker_A | And I I have one maybe the suggestion or opinion . This remote control , okay , it can be for like universal , to use for any T_V_ ."
[11:47] Speaker_A | Not fat .
"[11:48] Speaker_B | Not fat , huh ."
[11:49] Speaker_A | Okay .
"[11:51] Speaker_B | Might be hard to find , though ."
[11:53] Speaker_A | Yep .
[11:54] Speaker_D | Hmm .
"[11:55] Speaker_A | But let's try it , okay , with the different uh the designs , okay , the functional designs ."
"[11:56] Speaker_B | Oh , okay ."
[12:00] Speaker_A | Okay ?
[12:01] Speaker_A | So any other questions ?
"[12:09] Speaker_A | Okay . Thank you Christine for uh time being , so then uh"
"[12:15] Speaker_D | Okay , from the marketing yeah , from the marketing side , just to to give an idea what the management is looking for , I was looking for a a remote control to have a s"
[12:24] Speaker_C | S 'scuse me for one sec .
"[12:27] Speaker_D | I have a sales price of twenty-five Euro , with a production price of uh twelve and a half Euro ."
"[12:34] Speaker_D | For what uh I think from what we're trying to find , we're tr we're looking for , I don't think that price is exactly in the market ."
[12:44] Speaker_D | Okay ?
[12:45] Speaker_A | Mm-hmm .
[12:45] Speaker_D | I'll explain myself here now in the sense that uh
"[12:49] Speaker_D | in a in the recent surveys , uh from the ages fr from fifteen to thirty-five , eighty percent are willing to spend more money for something as fancy as trendy ."
"[12:59] Speaker_D | Twenty-five Euros , uh that's that's a preson reasonable price . That's a market price right now ."
"[13:05] Speaker_D | Now if we're gonna take a risk , and push this up a bit , make it more expensive , but give them added things that they don't have now , then it w it could possibly sell . Obviously the risk is there ."
[13:07] Speaker_A | Yep .
[13:14] Speaker_A | Yep .
"[13:17] Speaker_D | Too expensive , they're not gonna buy ."
"[13:19] Speaker_D | But , I think uh there's one other thing interesting two things that are interesting is that uh from the fifteen to thirty-five year-old group , which always spends more money on trendy new things , speech recognition is requested ."
[13:35] Speaker_D | And we're talking between seventy-five to ninety percent of this group is willing to pay for speech recognition on a remote .
[13:44] Speaker_A | Mm-hmm .
"[13:44] Speaker_D | Obviously , we can't make a remote into a computer , but maybe simple commands ."
"[13:50] Speaker_D | I dunno , louder , softer , on , off ."
"[13:55] Speaker_D | That might be a possibility , even though it costs more , to be the first on the market to produce this ."
[14:01] Speaker_D | Thirty-five percent say they're too difficult to use .
[14:05] Speaker_D | So we have to figure out a way of making it um more user friendly .
"[14:15] Speaker_D | So maybe one word speech recognition commands , say remote , and there's a beep beep beep , and they can find it through , you know , ten tons of newspapers , magazines , whatever you have at home ."
"[14:25] Speaker_D | But , in the cost that uh the management is looking for , that's not gonna be possible ."
"[14:31] Speaker_D | But if it's trendy , if it's fancy , it's got some colour to it , if it's very easy easy to use , if it's got simple remote speech remote uh control , like I said , louder , softer , change channel , on , off , remote , it goes beep beep , I can find my my remote without spending half a day looking for it and getting all upset 'cause I can't turn the T_V_ on ."
"[14:51] Speaker_D | So we're gonna have to look at it in a in this global idea , with the ideas of the industrial uh design ."
"[15:00] Speaker_D | But , price obviously we have to talk about ."
[15:03] Speaker_A | Yep .
"[15:16] Speaker_A | What do you think about uh the design , uh what he was talking about of the speech recognition ?"
[15:20] Speaker_D | Speech recognition .
"[15:25] Speaker_B | Well , uh training is always an issue with uh commands ."
[15:30] Speaker_A | Mm-hmm .
"[15:30] Speaker_B | So um might uh we can perhaps um do it if the user is willing to spend some time in the training process , uh it could reduce th th uh the overall um cost ."
[15:50] Speaker_B | Not sure how .
"[16:00] Speaker_B | And um so , maybe what we'll have to do is um add something where you can um recharge it wirelessly"
[16:13] Speaker_B | so that uh y you know sen send power to it .
"[16:17] Speaker_B | So uh or maybe uh set it out in the sun and it uh , you know , gets uh , from the light , um a a solar cell inside there so that uh you have enough uh juice to do all these fancy things ."
[16:20] Speaker_C | Hmm .
"[16:31] Speaker_C | It seems also like with the speech recognition , yeah , it's a great feature , but if you're watching T_V_ , there's a lot of ambient sound , and it's words . It's not just , you know , noises like something hitting ."
"[16:41] Speaker_C | It's actual speech , so then you have to make sure that the speech recognizer is good enough to filter out the T_V_ speech , and the the user's speech . Otherwise , you can say remote . But if someone on the screen is saying the same thing , all of a sudden , you have someone in a movie saying off and your screen dies ,"
"[17:04] Speaker_C | So , I think if we can find a speech recognizer that can handle those types of problems , then yeah , it'd be a really good marketing gimmick . But , I think we seriously need to consider how that would impact"
[17:11] Speaker_D | Mm .
[17:18] Speaker_C | the situation .
[17:19] Speaker_B | Very good point .
[17:27] Speaker_C | Mm-hmm .
"[17:28] Speaker_D | if it's a one-word recognition , 'cause I know with telephones and cars and things I've seen in the States , a friend of mine says call Mom , and it calls up Mom ."
[17:34] Speaker_C | Yeah .
[17:38] Speaker_D | 'Kay the radio can be on and everything .
[17:38] Speaker_C | Yeah .
[17:41] Speaker_A | Yep .
"[17:41] Speaker_D | Because I think s with speech recognition , if uh the the remote or like the telephone it has a exact word that it has to hear ."
[17:49] Speaker_C | Mm-hmm .
[17:50] Speaker_D | I don't think it would come through a sentence in a television .
"[17:53] Speaker_D | If somebody's speaking on the se the television , they're not gonna stop and say remote , okay ."
[17:58] Speaker_C | Mm-hmm .
[18:03] Speaker_C | Oh yeah . Yeah .
[18:03] Speaker_D | Like the t like the telephone .
"[18:04] Speaker_C | No , I think it's a great idea if we can design it to to suit those requirements ."
[18:12] Speaker_C | Yeah .
"[18:19] Speaker_A | Well , what I can uh suggest to you , Christine , okay , uh if you need some uh the technical feedback , or some training , okay , about uh this facility , especially for the speech recognition ,"
"[18:32] Speaker_A | I can recommend you some companies like uh Intel or I_B_M_ , okay , because they're already in this uh speech recognition part , okay ."
"[18:41] Speaker_A | And uh you can maybe have some uh technical backup from them , some kind of a technical tie-up ."
"[18:46] Speaker_A | Okay , and uh if you want , I can coordinate , okay , to get some information , okay , and uh you can uh let me know , okay , so what kind of uh the details you require"
"[19:00] Speaker_A | okay , to add this feature"
[19:04] Speaker_A | in this project .
[19:05] Speaker_A | I don't think it's uh the difficult .
"[19:12] Speaker_A | And uh we need to know how much is the timeframe you need to develop ,"
[19:17] Speaker_A | apart from uh what today .
"[19:21] Speaker_B | Okay , we'll find that out ."
[19:22] Speaker_A | Yep .
"[19:23] Speaker_D | From from your side uh , you're gonna have to go back the management and s be more s precise . What do they want ? Uh , a risk , take a risk on the market ? Something that's gonna cost more , but could very easily s make a boom in the market ?"
[19:27] Speaker_A | Yes .
[19:29] Speaker_A | Yes .
[19:36] Speaker_A | Yes .
[19:38] Speaker_A | Yep .
"[19:38] Speaker_D | Because it has to be something totally different , has to be total totally new . Something that nobody has right now ."
[19:44] Speaker_D | And it's gonna cost .
"[19:44] Speaker_A | Yeah but but end of the day , you're the sales guy , so I will come back and sit on your head because uh you are going to give your sales projection , okay ."
"[19:53] Speaker_A | It's uh of course it's uh good to uh tell the management how much it's cost us and how much you are going to benefit , okay ."
[19:54] Speaker_D | Mm-hmm .
[19:59] Speaker_D | Sure . Sure .
"[20:00] Speaker_A | And uh , so I don't mind to convince , okay , the management to spend some more money on the project , okay , if you can make out of"
[20:11] Speaker_D | Obviously .
"[20:12] Speaker_A | the money from this project . Yes , okay I don't mind to convince the the management , okay ."
[20:17] Speaker_D | Mm .
"[20:18] Speaker_A | The management says , okay , so they they don't want certain facilities , which it's already worked , okay , they want something uh new , okay ."
"[20:26] Speaker_A | I think uh like uh speech recognit definitely they will agree , I don't think they'll say no for that , okay ."
"[20:31] Speaker_A | And uh I hope I can convince the management on that , okay ."
"[20:35] Speaker_A | So if you have any uh new ideas , okay , for uh your you can always come up and uh you can tell me if you need any uh s special , okay , coordination , okay , between any uh technical companies , which you can uh hide their technology backup ,"
"[20:50] Speaker_A | okay , for your uh functional design or technical design , okay , then I am ready to do that ."
"[21:06] Speaker_C | Um well , I mean , maybe if I go through my presentation , you can sort of see what the user perspective is , and how it ties into the other two comments ."
[21:10] Speaker_D | Mm .
[21:16] Speaker_D | Yes . Mm .
"[21:18] Speaker_A | Okay , I'll uh hand over to Agnes ."
[21:21] Speaker_A | Just gonna close this . T
"[21:27] Speaker_A | Uh where are you , here ?"
[21:29] Speaker_C | Mm participant three .
[21:31] Speaker_A | Participant three .
"[21:39] Speaker_A | Okay , so I'll yep ."
[21:57] Speaker_A | Okay .
[21:58] Speaker_C | Good .
"[22:03] Speaker_C | Thanks . Yeah , and that's fine ."
[22:04] Speaker_A | Is it okay ? Alri
"[22:08] Speaker_C | Okay . So , basically , the method that we usually use in the user interface design is that we need to look at what people like and what people don't like about existing products . So , in our case , existing remote controls ."
"[22:21] Speaker_C | And then , what the good ideas are , and what the bad ideas are , and why they're bad and good , which isn't always as obvious . We seem to have intuitions about why things are good or things are bad , but when you look , technically , at how it works , sometimes that's not the case ."
"[22:36] Speaker_C | Then we need to decide what functionalities we really want to keep , 'cause that'll feed into both Ed's work and Christine's work ."
"[22:44] Speaker_C | Um and then what the remote control should look like , obviously , once we've got a good idea of what the functionalities are ."
"[22:51] Speaker_C | So , in terms of the functionalities that we need , you obviously need to be able to turn the T_V_ on and off . You need to change channels , both by directly going to a specific channel or by channel surfing . You need to be able to control the volume and then control any menus on the T_V_ to regulate contrast or whatever ."
"[23:12] Speaker_C | So , the problems that people have expressed is that there's too many buttons on remote controls , in general ."
[23:17] Speaker_C | The buttons it's not clear what they're supposed to do .
"[23:20] Speaker_C | Um often , you need to know specific button sequences to get certain functionalities done , um which you don't necessarily always remember , especially if it's a functionality that you don't use very often ."
[23:33] Speaker_C | And that the buttons are too small .
"[23:36] Speaker_C | So , here we've got two examples where here on the left-hand side , you can see a remote control that has lots and lots of buttons . The buttons , in a lot of cases , are tiny ."
"[23:47] Speaker_C | Um they're hard to see , and okay , they're labelled , but the labels don't necessarily tell you too much ."
"[23:54] Speaker_C | Whereas , on the other side , you have a much simpler remote control that I think basically has the minimum functionalities that are needed . And it sort of looks simpler and just less imposing when you first look at it . So , I would be inclined to go sort of towards this , in terms of design , rather than this ."
"[24:14] Speaker_C | And if there's specific functionalities that require more buttons , then we can figure out how to do it with existing um buttons ."
"[24:21] Speaker_C | So my personal preferences are to keep the number of buttons to a limit , or to a minimum , sorry , make frequently used buttons bigger and more strategically placed , so like the on button being really obvious one , the channel changing and the volume , and to keep the design basically sleek and simple ."
[24:36] Speaker_A | Click mm .
"[24:39] Speaker_C | Which , I think ties into what Christine and Ed have both said fairly reasonably ."
"[24:45] Speaker_C | Um so , that's pretty much it , an"
"[24:57] Speaker_B | Oh , it's um , seems very understandable . Clearly your research and uh and ours uh heading in the same direction , and um uh"
[25:06] Speaker_C | Yep .
[25:10] Speaker_B | the only thing that I saw missing from uh your your research that we found was this uh ability to find the doggone thing when you need it .
"[25:20] Speaker_C | Yes , that's true . Yeah ."
"[25:21] Speaker_B | So uh , you know , but that's okay . That's why we're all here at the table , so that if we think of it and our research indicates certain things and um w we it's complementary ."
[25:29] Speaker_C | Yeah .
"[25:31] Speaker_B | I also think that um uh th f the the feel of it is uh , when you hold it , is something that um uh was expressed more in in in in my uh design"
[25:50] Speaker_C | Mm-hmm . Yeah .
[25:57] Speaker_C | Yeah .
"[25:59] Speaker_C | Oh , that's definitely a very important factor , especially to users who are gonna be buying the thing and then using it almost on an daily basis in a lot of cases , I think ."
[26:01] Speaker_B | First . Yep .
[26:07] Speaker_B | Mm-hmm .
[26:12] Speaker_B | Sounds good .
"[26:15] Speaker_A | So for anybody need uh any help , for time being , on this uh subjects , okay , so please come back to me , and uh Christine , maybe I can uh try to help you to get some uh the technical uh the companies to help you for uh make a design uh slim , okay , and to add some features , like we are talking about , the speech recognition and all ."
"[26:40] Speaker_C | Should we maybe make a decision about what features we actually want to include , 'cause we've thrown a lot of features onto the table , but"
[26:43] Speaker_A | Yeah .
"[26:47] Speaker_C | do we actually want to incorporate all of them , or have we missed anything ?"
[26:52] Speaker_D | Hmm .
"[26:53] Speaker_B | Do you wanna go back and look at the closing slide , maybe that would provide some guidance ?"
[26:58] Speaker_C | Sure .
[27:13] Speaker_B | Doesn't really tell us .
[27:14] Speaker_A | So not really this one we are talk ab
"[27:17] Speaker_B | Well it says individual actions , it says user interf so I'm supposed to do the components concept ,"
[27:19] Speaker_A | Yep .
"[27:24] Speaker_B | supposed to work on the user interface concept , and you're supposed to keep watching the trends ."
[27:25] Speaker_C | Mm-hmm .
[27:29] Speaker_B | Um and specific instructions will be sent by our our coach .
"[27:34] Speaker_B | I think we should do as many features as uh start with all of them right now and eliminate them later in the process , that's my suggestion ."
"[27:44] Speaker_A | Okay , that will be great . And uh I'll send you the the minutes of meet"
[27:55] Speaker_A | Yeah .
[28:25] Speaker_D | Yeah . Right .
[28:27] Speaker_C | Sure .
[28:28] Speaker_C | Yeah .
[28:30] Speaker_C | Yeah . Sure .
"[28:31] Speaker_A | Okay , what we'll do is now we'll take for lunch break , okay , then uh we can discuss furthermore , okay , with our areas , and uh then we will come back again in the in the next meeting ."
"[28:41] Speaker_A | So thanks for coming and uh I'll send you minutes of meeting , and uh please put your all information in the sharing folder so everybody can share the information ."
[28:50] Speaker_A | Okay ?
[28:51] Speaker_C | Okay .
[28:52] Speaker_A | So let's go for lunch then .
[28:54] Speaker_B | Thank you very much .
[28:54] Speaker_A | Thank you .
