[00:08] me013 | OK
[04:05] mn007 | Uh actually the way things seems to
[04:09] mn007 | um well
[04:10] mn007 | it 's uh
"[04:12] mn007 | forty percent for TI - digit , sixty for"
"[04:14] mn007 | all the SpeechDat - Cars , well all these languages ."
[04:19] mn007 | Ehm
"[04:20] mn007 | the well match is forty , medium thirty five and high mismatch twenty - five ."
[04:27] me013 | Um and we don't have the TI - digits part yet ?
"[04:31] mn007 | Uh , no ."
[04:32] me013 | OK .
[04:33] mn007 | But
[04:33] mn007 | yeah .
[04:35] mn007 | Generally what you observe with TI - digits is that the result are very close
[04:38] mn007 | whatever the the system .
[04:40] me013 | OK .
[04:42] me013 | And so
[04:42] mn007 | Yeah .
[04:42] me013 | have you
[04:44] me013 | put all these numbers together
[04:49] mn007 | Uh not yet . No .
[04:50] me013 | OK so that should be pretty easy to do and that would be good then we could compare the two and say what was better .
"[04:51] mn007 | Mmm yeah , yeah ."
[04:53] mn007 | Mmm .
[04:55] mn007 | Yeah .
[04:55] me013 | Um
[04:57] me013 | and how does this compare
[05:03] fn002 | Yeah .
[05:04] me013 | top row ?
[05:12] mn007 | the baseline with the OGI features
[05:14] mn007 | but
[05:15] mn007 | this is not exactly the result that they have
[05:18] mn007 | because they 've they 're still
[05:20] mn007 | made some changes in the
[05:23] mn007 | features
[05:24] mn007 | and well
[05:25] mn007 | but
[05:26] mn007 | uh
[05:27] mn007 | actually
[05:28] mn007 | our results are better than their results .
[05:31] mn007 | Um
[05:39] mn007 | Uh
[05:44] me013 | OK so the one one place
[05:47] me013 | where it looks like we 're messing things up a bit is in the highly mismatched Italian .
[05:52] mn007 | Yeah . Yeah .
[06:02] me013 | An -
[06:03] mn007 | Yeah there is something funny happening here because yeah .
[06:06] me013 | Yeah .
[06:07] mn007 | But there are thirty - six and then
[06:10] mn007 | sometimes we are we are we are around forty - two and
[06:15] me013 | Now up
[06:15] mn007 | but
[06:23] me013 | Uh so
[06:26] me013 | one of the ideas that you had mentioned last time was having a a second um silence detection .
[06:34] mn007 | Yeah . So there are
[06:35] mn007 | some results here
[06:37] fn002 | For the Italian . For this one .
[06:38] mn007 | uh so the
[06:40] mn007 | third and the fifth line of the table
[06:43] me013 | So filt is what that is ?
"[06:44] mn007 | Filt , yeah"
[06:44] fn002 | Yeah .
[06:46] mn007 | Um
[06:48] mn007 | yeah so it seems f for the the well match and mismatched condition
[06:53] mn007 | it 's uh
[06:55] mn007 | it brings something .
[06:57] mn007 | Uh but
[07:00] mn007 | uh actually
[07:02] mn007 | apparently there are there 's no
[07:04] mn007 | room left for any
[07:06] mn007 | silence detector
[07:08] mn007 | at the server side because of the delay .
[07:11] mn007 | Uh
[07:11] me013 | Oh we can't do it . Oh OK .
[07:11] mn007 | well
[07:13] mn007 | No .
[07:15] me013 | Oh . Too bad .
[07:16] mn007 | Uh
[07:19] mn007 | Yeah .
[07:22] mn007 | I think they are still working well .
[07:23] me013 | Uh - huh .
[07:24] mn007 | Uh t two days ago they were still working on this
[07:28] mn007 | trying to reduce
[07:31] mn007 | the delay of the silence detector
[07:34] mn007 | so but
[07:36] mn007 | yeah if we had time perhaps we could try to find uh
[07:39] mn007 | some kind of compromise between the delay that 's on the handset and on the server side .
[07:48] mn007 | but well hmm
[07:55] mn007 | the feature computation and
[07:58] me013 | OK .
[07:59] me013 | So
[07:59] mn007 | so we don't
[07:59] me013 | Alright so for now at least that 's not
[08:01] me013 | there
[08:03] me013 | you have some results with low - pass filter cepstrum
[08:05] me013 | doesn't have a huge effect but it but it looks like it
[08:08] me013 | you know maybe could help in a couple places .
[08:09] mn007 | I th
[08:10] mn007 | Yeah .
[08:11] me013 | Uh little bit .
[08:13] me013 | Um
[08:14] me013 | and um
[08:17] me013 | um
[08:22] me013 | Yeah
[08:23] me013 | and uh
[08:26] me013 | let 's see
[08:30] me013 | What else did we
[08:33] me013 | have in there ? Uh
[08:37] me013 | I guess it makes a l um at this point this is
[08:40] me013 | I I guess I should probably look at these others a little bit uh
[08:44] me013 | And you you yellowed these out uh but uh
[08:49] me013 | uh
[08:51] me013 | Oh I see yeah that that one you can't use because of the delay .
[08:55] me013 | Those look pretty good .
[08:57] me013 | Um
[08:59] me013 | let 's see that one
[09:11] me013 | Well even the just the the second row doesn't look that bad right ? That 's just uh
[09:19] mn007 | Yep .
[09:19] me013 | yeah ? And and
[09:20] fn002 | Mmm yeah .
[09:22] me013 | that looks like an interesting one too .
[09:28] me013 | Uh
[09:34] mn007 | Actually the yeah the second line is
[09:37] mn007 | uh
[09:38] mn007 | pretty much like the first line in yellow
[09:42] mn007 | except that we don't have this KLT on the first on the left part of the diagram .
[09:48] mn007 | We just have the features
[09:50] mn007 | as they are .
[09:51] me013 | Mm - hmm .
[09:53] mn007 | Um
[09:54] me013 | Yeah .
[09:55] me013 | Yeah so when we do this weighted measure we should compare the two cuz it might even come out better .
[09:59] mn007 | Mm - hmm .
[09:59] me013 | And it 's it 's it 's a little slightly simpler .
[10:03] mn007 | Yeah .
[10:06] me013 | so there 's so I I would put that one also as a as a maybe .
[10:11] me013 | Uh
[10:13] me013 | and it yeah and it 's
[10:15] me013 | actually does does significantly better on the uh
"[10:19] me013 | uh highly mismatched Italian , so"
[10:23] me013 | s and little worse on the
"[10:26] me013 | mis on the MM case , but"
[10:29] me013 | uh
[10:34] me013 | Well yeah it 's worse than a few things
[10:36] mn007 | Mm - hmm .
[10:37] me013 | so uh
[10:42] me013 | their measure and are are we running this uh for TI - digits or uh
[10:47] mn007 | Yeah .
[10:47] mn007 | Yeah .
"[10:48] me013 | Now is TI di is is that part of the result that they get for the uh development th the results that they 're supposed to get at the end of end of the month , the TI - digits are there also ?"
[10:57] mn007 | Yeah .
"[10:57] mn007 | It 's included , yeah ."
[10:58] me013 | Oh OK .
[11:02] me013 | OK .
[11:05] me013 | And see what else there is here .
[11:08] me013 | Um
[11:15] me013 | Oh I see the one I was looking down here at the the o the row below the
[11:21] me013 | lower yellowed one .
[11:22] mn007 | Mm - hmm ?
[11:23] me013 | Uh that 's
[11:25] me013 | uh
[11:30] mn007 | Yeah .
[11:30] me013 | reduced dimensionality .
[11:30] mn007 | Yeah .
[11:32] me013 | What happens there
[11:35] me013 | is it 's around the same
[11:38] me013 | and so you could reduce the dimension as you were saying
[11:41] me013 | before a bit perhaps .
"[11:44] mn007 | Yeah , it 's it 's significantly worse well but Mm - hmm ."
[11:50] mn007 | Exc - except for the HM
[11:51] me013 | it 's uh
[11:53] fn002 | For many a mismatch it 's worse .
[11:54] mn007 | but
[11:55] me013 | it 's it 's mostly worse .
[11:57] me013 | Yeah .
[11:58] me013 | But it is little . I mean
"[12:00] me013 | not not by a huge amount , I don't know ."
"[12:03] me013 | What are what are the sizes of any of these sets , I I 'm I 'm sure you told me before , but I 've forgotten ."
[12:09] me013 | So you know how many words
[12:10] mn007 | Uh
[12:13] me013 | are in
[12:15] me013 | uh one of these test sets ?
[12:17] fn002 | I don't remember .
[12:19] mn007 | Um
[12:19] me013 | About ?
[12:23] mn007 | the well matched is generally larger
[12:26] mn007 | than the other sets
[12:29] mn007 | and I think it 's around
[12:32] fn002 | Ye -
"[12:32] mn007 | two thousand or three thousand words perhaps , at least ."
[12:36] mn007 | Hmm ?
[12:37] fn002 | well word I don't know .
"[12:39] mn007 | The words , yeah ."
[12:39] fn002 | Sentences .
[12:39] mn007 | S sentences .
"[12:42] mn007 | Some sets have five hundred sentences ,"
[12:44] mn007 | so .
[12:44] fn002 | Yeah .
[12:46] mn007 | Mmm .
"[12:46] me013 | So the so the sets so the test sets are between five hundred and two thousand sentences , let 's say"
[12:52] me013 | and each sentence on the average has four or five digits or is it most of them longer or
[12:58] fn002 | Yeah for the Italian
[12:58] mn007 | Yeah .
[13:00] mn007 | It it d
[13:00] fn002 | even seven digits y more or less but sometime
[13:02] mn007 | Seven digits .
[13:03] fn002 | the sentence have only one digit and sometime
"[13:08] fn002 | uh like uh the number of uh credit cards , something like that ."
[13:13] me013 | Mm - hmm .
"[13:15] me013 | Right , so between one and sixteen . See the I mean the reason I 'm asking is is is we have all these small differences and I don't know"
[13:18] mn007 | Mm - hmm ?
"[13:21] me013 | how seriously to take them , right ? So"
[13:24] mn007 | Yeah .
[13:24] me013 | uh i if if you had uh just
"[13:27] me013 | you know to give an example , if you had uh"
[13:31] me013 | um
[13:33] me013 | if you had a thousand words
"[13:35] me013 | then uh a a tenth of a percent would just be one word , right ? So so it wouldn't mean anything ."
[13:40] fn002 | Yeah .
[13:43] me013 | Oh um
[13:46] me013 | so um
[13:48] me013 | yeah it be kind of I 'd kind of like to know what the
[13:51] me013 | sizes of these test sets were actually .
[13:53] fn002 | The size that we have ?
[13:53] mn007 | Yeah . We could we could run run some kind of significance tests or
"[13:57] me013 | well also just to know the numbers , right . So these these are word error rates so this is on how many words ."
[13:57] fn002 | Yeah .
[13:59] mn007 | Yeah .
[14:02] mn007 | Yep .
[14:02] fn002 | Yeah we have the result that the output of the HTK
[14:05] me013 | Yeah .
"[14:08] fn002 | of sentences , no it 's the number isn't ."
[14:09] mn007 | Yeah sure sure . Yeah sure . Yeah .
[14:10] me013 | Yeah so anyway if you could just mail out what those numbers are and then then that that be great .
[14:13] fn002 | Yeah .
[14:18] me013 | what else is there here ?
[14:29] me013 | what was that ?
[14:29] mn007 | Uh
[14:31] fn002 | the output silence of the MLP .
[14:34] mn007 | Oh yeah I see .
[14:35] fn002 | It 's only one small experiment to know what happened .
[14:38] fn002 | To apply
[14:43] fn002 | the silence of the MLP we have the fifty - six form and the silence to pick up the silence and we include those .
[14:48] me013 | Yes .
"[14:49] me013 | Uh - huh , uh - huh ."
[14:53] me013 | The silence plus the KLT output ?
[14:56] me013 | Oh so you 're only using the silence .
[14:56] mn007 | Yeah .
"[14:58] fn002 | Yeah , because when we apply"
[14:59] fn002 | the KLT
[15:00] mn007 | No they 're I think there is this silence in addition to the um KLT outputs it is because we we we just keep
[15:01] me013 | No .
"[15:03] fn002 | in addition , yes . In addition t"
[15:08] mn007 | uh we don't keep all the dimensions after the KLT
[15:12] mn007 | and yeah .
[15:13] fn002 | and we not s we are not sure if we pick we have the silence .
[15:14] mn007 | So
[15:15] mn007 | we try to add the silence also in addition to the these twenty - eight
[15:19] me013 | I see .
[15:20] mn007 | dimensions .
[15:21] me013 | OK .
[15:21] me013 | And what and what 's OGI forty - five ?
"[15:25] mn007 | Uh it 's o it 's OGI two , it 's so the th it 's the features from the first line"
[15:26] me013 | The bottom one there ?
[15:28] fn002 | It 's in fact OGI two .
[15:32] mn007 | and yeah .
[15:32] me013 | S
"[15:36] me013 | Right , but I mean what 's the what does the last row mean ?"
[15:39] mn007 | So it 's uh basically this but without the KLT
[15:44] mn007 | on the from the left path .
[15:53] me013 | I thought that was the one I thought that was the second row .
[16:00] me013 | So what 's the difference between the second
[16:00] mn007 | Uh the second line you don't have this combo stuff so you just
[16:05] me013 | Oh .
[16:05] mn007 | uh
[16:07] me013 | So this is like the second line but with with the combo stuff .
[16:07] mn007 | Yeah .
[16:09] fn002 | And with the all the output of the combo .
[16:10] mn007 | Yeah .
[16:11] me013 | OK .
[16:13] me013 | Yeah .
[16:13] mn007 | Yeah .
[16:13] fn002 | Uh
[16:24] mn007 | Mm - hmm .
[16:25] me013 | so it looks to me like the ones you said
[16:32] me013 | the the second row one
[16:34] mn007 | Yeah .
[16:35] me013 | and then um if we can um
[16:35] mn007 | Mmm .
[16:41] me013 | oh yeah also
"[16:44] me013 | when they 're using this weighting scheme of forty , thirty - five , twenty - five"
[16:48] me013 | is that on the percentages or on the raw errors ? I guess
[16:54] mn007 | Uh
[16:55] me013 | it 's probably on the percentages right ?
"[17:04] mn007 | I guess , yeah ."
[17:05] me013 | Yeah OK .
"[17:05] mn007 | I guess , yeah . Mmm ."
[17:07] me013 | Alright .
[17:07] mn007 | It 's not clear here .
[17:09] me013 | OK . Maybe maybe they 'll argue about it .
[17:12] me013 | Um
[17:14] me013 | OK so if we can know what how many words are in each and then um Dave uh
[17:19] me013 | Dave promised to get us something tomorrow
[17:22] me013 | which will be there
[17:23] mn007 | Mm - hmm .
[17:24] me013 | as far as they 've gotten Friday and then we 'll operate with that and
[17:26] mn007 | Yeah .
[17:28] me013 | uh how long did it
[17:30] me013 | I guess if we 're not doing all these things if we 're only doing
[17:34] me013 | um
[17:36] me013 | um
[17:40] me013 | I guess since this is development data it 's legitimate
"[17:45] me013 | to do more than one , right ?"
[17:48] me013 | I mean ordinarily if in final test data you don't want to do
[17:48] mn007 | Yeah .
[17:51] me013 | several
[17:52] mn007 | Mmm .
[17:54] me013 | that 's not proper but if this is development data we could still
[17:58] me013 | look at a couple .
[17:59] mn007 | Yeah .
[18:01] mn007 | We can yeah . Sure . But
[18:03] mn007 | we have to decide I mean we have to fix the system
"[18:06] mn007 | on this d on this data , to choose the best and"
[18:06] me013 | Yeah .
[18:07] me013 | I
[18:08] me013 | Right .
[18:09] mn007 | these
"[18:10] me013 | But the question is when when do we fix the system , do we fix the system uh tomorrow or do we fix the system on Tuesday ?"
[18:10] mn007 | But we could
[18:13] mn007 | it d
"[18:16] mn007 | I think we fixed on Tuesday , yeah . Yeah . Mm - hmm ."
"[18:17] me013 | Yeah , OK except that we do have to write it up . Also , so"
[18:20] mn007 | Mm - hmm .
[18:21] mn007 | Yeah .
[18:22] mn007 | Yeah .
[18:24] me013 | Um
[18:27] mn007 | Well basically it 's this with
[18:33] me013 | Right so maybe what we do is we we we uh as soon as we get the data from them
[18:33] mn007 | Yeah but
[18:37] me013 | we start the training and so forth but we start the write - up right away
[18:37] mn007 | Mm - hmm .
[18:42] me013 | because as you say there there 's only minor differences between these .
"[18:46] mn007 | I think you we could we could start soon , yeah ."
[18:48] me013 | Yeah .
[18:48] mn007 | Write up something .
[18:50] mn007 | Um yeah . Mm - hmm .
"[18:51] me013 | and I I would you know , I would I 'd kind of like to see it maybe I can I can edit it a bit"
[18:56] me013 | uh sure .
[18:58] me013 | The my what in this si i in this situation is my forte which is English .
[19:06] me013 | Uh
[19:07] me013 | so
[19:08] mn007 | Mmm .
[19:08] me013 | uh
[19:12] me013 | H yeah . Have y have you seen alt d do they have a format for how they want the system descriptions or anything ?
[19:17] mn007 | Uh not really .
[19:19] me013 | OK .
[19:19] mn007 | Um
[19:24] mn007 | quite impressive .
[19:26] me013 | Yeah ?
[19:30] me013 | Uh
[19:33] me013 | I see .
"[19:35] me013 | Yes , for those who are listening to this and not looking at it uh it 's not really that impressive , it 's just tiny ."
[19:43] me013 | It 's all these little categories
"[19:45] me013 | set a , set b , set c , multi - condition , clean ."
[19:49] me013 | Uh
[19:52] me013 | No mitigation .
[19:55] me013 | Wow .
[19:56] me013 | Do you know what no what no mitigation means here ?
[20:00] mn007 | Um
[20:01] mn007 | it should be the
[20:05] mn007 | the problem with the error channel error or
"[20:08] me013 | this is probably channel error stuff huh ? Oh this is i right , it says right above here channel channel error resilience , yeah ."
[20:10] mn007 | Yeah .
[20:12] mn007 | Yeah .
"[20:16] me013 | So recognition performance is just the top part , actually ."
[20:21] me013 | Uh
"[20:23] me013 | and they have yes , split between seen databases and non - seen so basically between development and and evaluation ."
[20:25] mn007 | Yeah .
"[20:32] me013 | right , it 's presumed there 's all sorts of"
[20:34] me013 | tuning that 's gone on on the
[20:36] me013 | see what they call seen databases and
[20:39] me013 | there won't be tuning for the uh unseen .
[20:45] me013 | Multi - condition multi - condition .
[20:52] me013 | So they have looks like they have
[20:55] mn007 | Mm - hmm .
[20:55] me013 | uh
[20:58] me013 | uh
"[21:01] me013 | so they splitting up between the TI - digits and everything else , I see ."
"[21:05] me013 | So the everything else is the SpeechDat - Car , that 's the"
[21:09] me013 | multi multilingual
"[21:12] me013 | Well , it is . It is , but there 's also there 's these tables over here for the for the TI - digits and these tables over here for the car"
[21:12] mn007 | it just
[21:19] mn007 | Oh yeah .
[21:19] me013 | data which is which is I guess all the multilingual stuff
[21:22] mn007 | Yeah .
[21:25] me013 | they also split up between multi - condition and clean only .
[21:31] mn007 | For TI - digits .
[21:32] me013 | Yes .
"[21:33] mn007 | Yeah , actually yeah . For the TI - digits they want to train"
[21:36] mn007 | on clean
[21:39] mn007 | and on noisy
[21:40] me013 | Yeah .
[21:41] mn007 | and yeah .
"[21:44] me013 | So we 're doing that also , I guess ."
[21:47] mn007 | Uh yeah .
[21:48] mn007 | But
[21:49] mn007 | uh we
[21:53] mn007 | do we have the features ? Yeah . For the clean TI - digits but we did not test it yet .
[21:59] mn007 | Uh the clean training stuff .
[22:01] me013 | OK .
[22:01] mn007 | Mmm .
"[22:04] me013 | Well anyway , sounds like there 'll be a lot to do just to work with our partners to fill out the tables over the next uh"
[22:10] mn007 | Mm - hmm .
[22:11] fn002 | Yes .
[22:15] me013 | let 's see the thirty - first is uh
[22:19] me013 | uh Wednesday and I think the it has to be there by some
[22:23] me013 | hour
[22:25] me013 | uh European time on Wednesday so I think basically
[22:26] mn007 | Hmm - hmm .
[22:31] me013 | E excuse me ?
[22:35] fn002 | is a long different of the time .
[22:38] fn002 | Maybe the Thursday
[22:42] fn002 | the twelfth of the night of the Thurs - thirty - one
[22:47] fn002 | is not valid in Europe . We don't know is happening .
[22:47] mn007 | Yeah .
"[22:51] me013 | Yes , so I mean I think we have to actually get it done Tuesday right because I I think"
[22:54] fn002 | Tuesday .
"[22:55] mn007 | Yeah , well ."
[22:58] me013 | uh
[23:02] mn007 | we can still
[23:05] mn007 | do some work on Wednesday morning .
[23:07] me013 | Uh yeah well .
"[23:08] mn007 | Yeah , well ."
[23:09] me013 | W i is but is is it midni I thought it was actually something like five PM
[23:13] mn007 | Yeah .
[23:13] fn002 | Yeah .
[23:13] mn007 | Mm - hmm .
"[23:14] me013 | was like I thought it was five PM or something , I didn't think it was midnight . I thought they said they wanted everything by"
"[23:18] fn002 | Yeah , five PM ."
"[23:20] me013 | well , so five PM"
[23:22] me013 | their time
[23:23] me013 | is is if
"[23:24] fn002 | Not five PM , three PM ."
[23:26] me013 | three PM .
[23:26] fn002 | Three PM .
"[23:27] me013 | Alright , that 's six in the morning here ."
[23:29] mn007 | It 's d
[23:30] fn002 | Uh no
[23:30] mn007 | no .
[23:31] fn002 | three three A - three PM ?
"[23:33] mn007 | No , we are wondering about the the the hour"
[23:36] mn007 | that we have to
[23:37] mn007 | eh I don't know if it 's three PM it 's
"[23:38] fn002 | Oh yeah , yeah , yeah , yeah ."
[23:40] fn002 | Three PM here is in Europe midnight .
"[23:42] mn007 | Yeah , it 's it 's midnight but"
"[23:43] me013 | Yes , yes , but I didn't think it was midnight that it was due , I thought it was due at some hour during the day like five PM or something ."
[23:45] fn002 | Oh OK .
[23:48] fn002 | Mm - hmm .
"[23:49] fn002 | Mm - hmm , maybe ."
[23:52] me013 | so I I uh well we should look but my assumption is that we basically have to be done Tuesday . Um
[23:58] me013 | so then next Thursday we can sort of have a
[24:02] me013 | little aftermath but then then we 'll actually have the new data which is the German and the Danish
[24:06] mn007 | Yeah .
[24:07] me013 | but that really will be much less work because
[24:11] me013 | uh the system will be fixed
[24:13] mn007 | Yeah .
[24:13] me013 | so all we 'll do is
[24:18] mn007 | Yeah .
[24:18] me013 | and uh and run it through the process . Uh we won't be changing the training on anything
[24:20] mn007 | Mm - hmm .
"[24:24] me013 | so there 'll be no new training , there 'll just be new HTK runs , so that 's"
[24:28] me013 | means in some sense we
[24:34] me013 | and uh
[24:35] me013 | maybe next meeting we can start talking a little bit about where we want to go from here uh in terms of
[24:39] mn007 | Mm - hmm .
[24:42] me013 | uh the research .
[24:45] me013 | Um
[24:46] me013 | you know what things
[24:48] me013 | uh did you think of when you were
[24:51] me013 | uh doing this process that uh you just didn't really have time to adequately
[24:57] me013 | work on uh
[24:58] mn007 | Mm - hmm .
[25:00] me013 | uh
[25:04] me013 | What ?
[25:11] me013 | Yeah .
[25:11] me006 | Yeah .
[25:12] me013 | Yeah .
[25:23] me013 | Yeah ?
"[25:23] me013 | Oh , that was good . And and uh also it 's still true that uh"
[25:23] mn007 | Yeah .
[25:24] me006 | Yeah .
[25:25] mn007 | But
[25:28] me013 | I think it 's true that that we we at least got fairly consistent
[25:33] me013 | i improved
[25:35] me013 | results
[25:37] me013 | by running uh the uh neural net transformation in parallel with the features rather than
[25:43] me013 | uh in sequence which was was your suggestion and that that that seems to have been borne out .
[25:43] mn007 | Mm - hmm .
[25:47] mn007 | Mm - hmm .
[25:54] me013 | is not
[26:00] me013 | uh some of them are
[26:01] me013 | but uh
[26:02] me013 | I mean you have something really really wrong and you fix it you can get big and really enormous improvements but
[26:07] mn007 | Mm - hmm .
[26:13] me013 | um
[26:14] me013 | Cuz our best improvements over the years that we 've gotten from
"[26:17] me013 | finding bugs , but"
[26:21] me013 | Anyway
[26:22] me013 | OK well I I think I see where we are and everybody knows what they 're doing and is there is there anything else we should talk about or or are we done ?
[26:31] mn007 | Mm - hmm .
[26:35] mn007 | I think it 's OK um .
[26:36] mn007 | We
[26:41] mn007 | to focus on these three
[26:48] mn007 | and perhaps I was thinking also a fourth one with
[26:56] mn007 | removing all these KLT 's and
[26:56] me013 | Uh - huh .
[26:58] mn007 | putting one single KLT at the end .
"[27:02] me013 | Yeah , I mean that would be pretty"
[27:04] me013 | low maintenance to try it .
[27:06] mn007 | Yeah .
[27:06] me013 | Uh if you can fit it in .
[27:08] mn007 | Mm - hmm .
[27:09] me013 | Oh I have yeah I do have one other piece of information which uh
[27:14] me013 | I should tell people outside of this group too uh
[27:17] me013 | I don't know if we 're gonna need it
[27:19] me013 | uh but
[27:21] me013 | uh Jeff up at the
[27:24] me013 | uh University of Washington
[27:26] me013 | has uh gotten a hold of a uh uh some kind of server farm of uh
[27:32] me013 | of ten uh uh multiprocessor uh IBM machines RS six thousands
[27:37] mn007 | Mm - hmm .
"[27:39] me013 | and and uh so I think each one is four processors or something or I don't know , eight hundred megahertz or something and"
[27:46] me013 | there 's four processors in a box and there 's ten boxes and there 's some kind of ti so if you know he 's got a lot of processing power
[28:00] me013 | he 's offering it .
[28:02] mn007 | Mm - hmm .
[28:03] me013 | So .
[28:05] me013 | It 's uh
"[28:07] me013 | when he was here eh uh he he used i not only every machine here but every machine on campus as far as I could tell , so so in some ways he just got his payback , but"
[28:16] mn007 | Mm - hmm .
[28:17] me013 | uh
[28:20] me013 | if we 're gonna be CPU limited on anything that we 're doing in this group but but if if we are
[28:26] me013 | that 's an offer .
[28:29] me013 | OK well uh
[28:32] me013 | you guys doing great stuff so that 's that that 's really neat and uh
[28:36] me013 | we 'll uh
[28:37] me013 | uh g don't think we need to uh
[28:40] me013 | um
[28:42] me013 | Oh well the other thing I guess that I will say
[28:45] me013 | is that uh the digits that we 're gonna record momentarily
[28:50] me013 | is starting to get are starting to get into a pretty good size collection
[28:54] me013 | and um in addition to the SpeechDat stuff we will have those to work with
[29:00] me013 | really pretty soon now so that 's that 's another
[29:03] me013 | source of data .
[29:05] me013 | Um
[29:06] me013 | which is
[29:08] me013 | s under somewhat better control and that we can we can make measurements of the room the uh that you know if we feel there 's other measurements we don't have that we 'd like to have we can make them and
[29:17] me013 | uh Dave and I were just talking about that a little while ago
[29:20] mn007 | Mm - hmm .
[29:20] me013 | so
[29:22] me013 | uh that 's
[29:24] me013 | another possibility for this this kind of work .
[29:35] me013 | do our digits duty .
[29:40] me013 | OK .
[29:45] me013 | OK I 'll start .
"[29:52] me013 | Uh , let me say that again ."
[34:09] me013 | OK . I guess we 're done .
